"filename","dataset","word","speakerID","utteranceIndex","extension","samples","min","Q10","Q25","median","Q75","Q90","max","range","mean","sd","md5sum"
"test/audio/clip_91cd9ccfc.wav","test","","91cd9ccfc","0","wav",16000,-2938,-195,-6,1,9,245,2318,5256,-0.343875,348.037473564517,"001d47276ac8f75c8bb4dd0c3923c976"
"test/audio/clip_f29207b90.wav","test","","f29207b90","0","wav",16000,-2938,-195,-6,1,9,245,2318,5256,-0.343875,348.037473564517,"001d47276ac8f75c8bb4dd0c3923c976"
"train/audio/no/cb8f8307_nohash_3.wav","train","no","cb8f8307","3","wav",16000,-15248,-1400,-14,0,16,1395.2,13291,28539,2.38875,1901.16074462011,"00f40d14e950f82ce35618e9912e7c23"
"train/audio/no/cb8f8307_nohash_5.wav","train","no","cb8f8307","5","wav",16000,-15248,-1400,-14,0,16,1395.2,13291,28539,2.38875,1901.16074462011,"00f40d14e950f82ce35618e9912e7c23"
"test/audio/clip_622472139.wav","test","","622472139","0","wav",16000,-9117,-1586.1,-60.25,-2,21,1457.1,11446,20563,-3.3911875,1837.1585152071,"0100a5817d788c73e3abea746ef82f7a"
"test/audio/clip_c89b44152.wav","test","","c89b44152","0","wav",16000,-9117,-1586.1,-60.25,-2,21,1457.1,11446,20563,-3.3911875,1837.1585152071,"0100a5817d788c73e3abea746ef82f7a"
"test/audio/clip_cbd44ae6c.wav","test","","cbd44ae6c","0","wav",16000,-2072,-245,-9,0,10,234,2150,4222,-0.0215,327.08003282376,"0103b53d1187d4ed368dcde3de51480a"
"test/audio/clip_cd43a660c.wav","test","","cd43a660c","0","wav",16000,-2072,-245,-9,0,10,234,2150,4222,-0.0215,327.08003282376,"0103b53d1187d4ed368dcde3de51480a"
"train/audio/on/c1d39ce8_nohash_4.wav","train","on","c1d39ce8","4","wav",16000,-18159,-1432,-208,5,241.25,2156.2,11612,29771,-0.474125,2336.34560989616,"010f29432bb090847709a13019612d68"
"train/audio/on/c1d39ce8_nohash_9.wav","train","on","c1d39ce8","9","wav",16000,-18159,-1432,-208,5,241.25,2156.2,11612,29771,-0.474125,2336.34560989616,"010f29432bb090847709a13019612d68"
"test/audio/clip_41088f4ec.wav","test","","41088f4ec","0","wav",16000,-18148,-551,-16,0,18,476,19917,38065,2.4995625,1842.29092409162,"011562a2b2413670b9a3f925064d8b68"
"test/audio/clip_a28e642eb.wav","test","","a28e642eb","0","wav",16000,-18148,-551,-16,0,18,476,19917,38065,2.4995625,1842.29092409162,"011562a2b2413670b9a3f925064d8b68"
"train/audio/down/c1d39ce8_nohash_6.wav","train","down","c1d39ce8","6","wav",16000,-22913,-2167.1,-162,12,259,2554.1,10562,33475,-11.9729375,2561.26483137261,"01209921541626c71412aaebb7a36808"
"train/audio/down/c1d39ce8_nohash_7.wav","train","down","c1d39ce8","7","wav",16000,-22913,-2167.1,-162,12,259,2554.1,10562,33475,-11.9729375,2561.26483137261,"01209921541626c71412aaebb7a36808"
"test/audio/clip_8d4026a89.wav","test","","8d4026a89","0","wav",16000,-3697,-21.0999999999999,-2,1,2,24,2623,6320,-0.15975,296.30413891618,"01477edd8dd2f3a003b4cb8c5a8b2f7d"
